SOLARSYSTEMID	SOLARSYSTEMNAME	X	Y	Z	LUMINOSITY	SECURITY	RADIUS
30000025	Rashy	-7.42E+016	5.10E+016	-4.43E+016	0.13	0.8	3044933134604
30000026	Ordize	-6.69E+016	4.73E+016	-4.16E+016	0.21	0.7	4739299157720
30000027	Psasa	-7.22E+016	4.30E+016	-4.51E+016	0.42	0.75	1980465634544
30000028	Eshtah	-7.12E+016	5.08E+016	-4.65E+016	0.15	0.77	5016556149184
30000029	Lachailes	-6.14E+016	3.95E+016	-3.63E+016	0.13	0.57	887293963556
30000030	Kasrasi	-5.99E+016	4.32E+016	-4.16E+016	0.16	0.57	1323487276548
30000031	Mohas	-8.09E+016	2.66E+016	-2.62E+016	0.02	0.68	1283653050240
30000032	Hasiari	-8.79E+016	3.91E+016	-2.68E+016	0.08	0.8	1793587616000
30000033	Radima	-8.67E+016	3.03E+016	-2.31E+016	0.49	0.75	3709557046400
30000034	Alkez	-8.06E+016	3.66E+016	-2.24E+016	0.06	0.78	1917034706800
30000035	Nimambal	-7.90E+016	2.20E+016	-3.04E+016	0.17	0.59	2348147057528
30000036	Yishinoon	-6.91E+016	1.52E+016	-2.88E+016	2.26	0.42	3881923473336
30000037	Uplingur	-6.62E+016	1.63E+016	-2.57E+016	1.06	0.42	3975502910314
30000038	Dooz	-6.21E+016	4.88E+016	-7.71E+016	0.03	0.42	857129460388
30000039	Bayuka	-5.98E+016	3.91E+016	-7.32E+016	1.56	0.4	3294057667732
30000040	Uzistoon	-5.79E+016	4.58E+016	-7.48E+016	0.02	0.39	2103486848724
30000041	Bairshir	-5.95E+016	3.06E+016	-7.05E+016	0.03	0.36	2110378876364
30000042	Moh	-6.27E+016	3.38E+016	-6.42E+016	4.22	0.47	4946503351372
30000043	Sari	-6.28E+016	5.20E+016	-8.18E+016	0.09	0.38	2426401977928
30000044	Faspera	-8.73E+016	2.44E+016	-1.07E+017	0.12	0.13	842988087840
30000045	Jaymass	-8.29E+016	3.23E+016	-9.96E+016	0.4	0.22	3467864000712
30000046	Mifrata	-7.86E+016	4.26E+016	-9.45E+016	0.07	0.3	2431497951200
30000047	Majamar	-7.34E+016	3.40E+016	-8.41E+016	2.67	0.37	6331382827616
30000048	Ihal	-8.48E+016	4.72E+016	-8.41E+016	1.21	0.49	4679239086184
30000049	Camal	-8.94E+016	4.03E+016	-1.04E+017	0.03	0.21	1602929258280
30000050	Fera	-7.43E+016	3.94E+016	-7.90E+016	0.02	0.48	440937055952
30000051	Juddi	-8.17E+016	4.33E+016	-7.20E+016	0.34	0.65	3664132260188
30000052	Maspah	-8.43E+016	4.09E+016	-5.77E+016	0.28	0.8	2318427568856
30000053	Ibaria	-8.50E+016	4.31E+016	-6.69E+016	0.02	0.73	384225822320
30000054	Shala	-8.50E+016	3.33E+016	-5.78E+016	0.17	0.72	3471753353664
30000055	Zemalu	-7.84E+016	3.77E+016	-5.84E+016	0.04	0.73	1274973405164
30000056	Khankenirdia	-7.64E+016	4.23E+016	-7.15E+016	0.05	0.61	3281192367384
30000057	Nikh	-8.57E+016	6.65E+016	-6.10E+016	0.12	0.77	4598617403668
30000058	Amphar	-8.15E+016	7.19E+016	-6.01E+016	0.01	0.7	1359562647344
30000059	Salashayama	-7.85E+016	7.57E+016	-5.35E+016	0.02	0.67	1976938754072
30000060	Janus	-6.70E+016	7.51E+016	-5.68E+016	0.07	0.55	2540231166708
30000061	Agha	-8.55E+016	6.86E+016	-6.47E+016	0.01	0.72	1443279450256
30000062	Iosantin	-6.04E+016	7.53E+016	-5.94E+016	0.02	0.45	998212186708
30000063	Orva	-5.88E+016	6.51E+016	-5.85E+016	0.5	0.51	3453450616288
30000064	Zet	-6.19E+016	6.34E+016	-5.78E+016	0.14	0.57	3642599907084
30000065	Akhrad	-5.55E+016	7.50E+016	-6.57E+016	0.33	0.36	3093933351904
30000066	Pirohdim	-6.61E+016	6.00E+016	-6.08E+016	0.63	0.63	6884440708384
30000067	Sharir	-6.09E+016	7.80E+016	-6.57E+016	0.55	0.4	3325006146924
30000068	Usroh	-8.35E+016	7.86E+016	-6.37E+016	0.03	0.6	1427242490504
30000069	Thiarer	-6.00E+016	5.70E+016	-6.16E+016	0.09	0.54	1430630751424
30000070	Gomati	-1.02E+017	6.17E+016	-9.28E+016	0.02	0.39	1950828774872
30000071	Jangar	-1.04E+017	7.16E+016	-8.17E+016	0.11	0.53	1333350620600
30000072	Nakah	-1.16E+017	8.18E+016	-9.82E+016	0.02	0.36	645474412840
30000073	Irshah	-9.53E+016	6.09E+016	-8.95E+016	0.15	0.43	3512344975656
30000074	Hasateem	-1.09E+017	6.86E+016	-9.18E+016	0.01	0.43	2089420678352
30000075	Assah	-1.16E+017	7.41E+016	-1.03E+017	0.32	0.3	2681177697144
30000076	Tidacha	-9.67E+016	6.51E+016	-5.62E+016	0.2	0.82	2207969906304
30000077	Odlib	-1.01E+017	6.17E+016	-5.60E+016	0.3	0.82	2530435416980
30000078	Jofan	-1.07E+017	6.02E+016	-5.56E+016	0.5	0.78	3484039331156
30000079	Milu	-9.61E+016	6.83E+016	-6.00E+016	0.01	0.77	2009050191076
30000080	Yadi	-1.08E+017	6.13E+016	-6.01E+016	0.21	0.75	2823739032304
30000081	Buftiar	-1.12E+017	6.59E+016	-5.78E+016	0.38	0.71	3027305567524
30000082	Jarizza	-9.96E+016	4.84E+016	-6.53E+016	0.32	0.77	3472110818984
30000083	Ejahi	-1.06E+017	5.97E+016	-6.55E+016	0.02	0.73	794096674264
30000084	Asghatil	-9.56E+016	4.34E+016	-6.14E+016	0.04	0.79	994599909008
30000085	Bar	-9.84E+016	5.42E+016	-7.43E+016	0.28	0.67	3320579548912
30000086	Sucha	-1.06E+017	5.26E+016	-7.21E+016	0.24	0.66	3141414530152
30000087	Gelhan	-1.01E+017	6.26E+016	-6.98E+016	0.58	0.7	3110815891780
30000088	Akeva	-9.47E+016	6.21E+016	-7.38E+016	0.03	0.66	2098107167440
30000089	Sosa	-8.35E+016	7.12E+016	-9.42E+016	0.45	0.3	2541561033336
30000090	Ilahed	-8.18E+016	7.53E+016	-9.07E+016	0.05	0.32	2392273845744
30000091	Eshwil	-8.87E+016	8.23E+016	-9.76E+016	1.11	0.22	4830178145160
30000092	Aranir	-8.42E+016	6.70E+016	-1.01E+017	1.71	0.24	2360709919400
30000093	Ishkad	-8.41E+016	7.74E+016	-8.61E+016	0.05	0.37	1370483246112
30000094	Hahyil	-8.90E+016	6.85E+016	-1.04E+017	0.22	0.21	3179008052008
30000095	Asilem	-5.98E+016	6.66E+016	-8.57E+016	0.01	0.28	2163577725104
30000096	Mahnagh	-6.09E+016	5.90E+016	-9.66E+016	0.44	0.21	2781410349996
30000097	Shach	-6.05E+016	6.09E+016	-8.39E+016	0.02	0.33	2085218371768
30000098	Kehrara	-7.37E+016	7.17E+016	-8.54E+016	0.09	0.36	1317166628232
30000099	Arena	-6.85E+016	7.06E+016	-7.63E+016	0.02	0.44	4751108853364
30000100	Timeor	-5.66E+016	5.51E+016	-8.22E+016	0.36	0.31	3987362319056
30000101	Uhtafal	-7.30E+016	7.18E+016	-7.40E+016	0.38	0.5	4332105858008
30000102	Dysa	-6.14E+016	7.17E+016	-9.00E+016	0.02	0.24	1383282793528
30000103	Serad	-6.92E+016	6.84E+016	-7.09E+016	1.16	0.53	4626700634780
30000104	Mahti	-5.94E+016	7.60E+016	-8.71E+016	1.45	0.23	5083050500272
30000105	Abha	-7.74E+016	8.31E+016	-7.20E+016	0.06	0.43	1286656713648
30000106	Shedoo	-8.94E+016	4.69E+016	-8.38E+016	0.1	0.51	3023692601128
30000107	Gamis	-1.02E+017	4.06E+016	-8.25E+016	0.18	0.47	1257976026488
30000108	Nieril	-1.01E+017	3.29E+016	-8.78E+016	0.07	0.35	2480415003968
30000109	Berta	-8.54E+016	3.35E+016	-7.87E+016	0.06	0.49	1304471702000
30000110	Bekirdod	-1.07E+017	4.61E+016	-8.85E+016	0.11	0.41	1491261305872
30000111	Hothomouh	-1.02E+017	3.17E+016	-8.13E+016	0.01	0.42	2799893958424
30000112	Arnola	-5.35E+016	4.21E+016	-4.13E+016	0.01	0.46	706530530660
30000113	Astabih	-5.15E+016	3.75E+016	-3.76E+016	0.43	0.41	2468167968700
30000114	Ubtes	-4.99E+016	2.94E+016	-3.60E+016	0.04	0.34	1359739052104
30000115	Bimener	-4.64E+016	2.63E+016	-3.94E+016	0.4	0.27	5242238286632
30000116	Kenobanala	-4.49E+016	3.29E+016	-3.63E+016	0.04	0.29	1016676793420
30000117	Khabi	-4.49E+016	2.56E+016	-4.31E+016	0.52	0.25	3788239474924
30000118	Uanzin	-5.27E+016	3.89E+016	-4.81E+016	0.41	0.43	3398584787208
30000119	Itamo	-1.13E+017	4.79E+016	1.12E+017	0.02	0.67	1011110290984
30000120	Mitsolen	-1.20E+017	4.02E+016	1.14E+017	6.34	0.63	10543681635240
30000121	Jatate	-1.13E+017	4.35E+016	9.98E+016	0.12	0.64	1135549451920
30000122	Mahtista	-1.19E+017	4.20E+016	1.08E+017	0.02	0.66	1707878655024
30000123	Vaankalen	-1.04E+017	5.41E+016	1.03E+017	9.41	0.65	6446844749808
30000124	Kylmabe	-1.15E+017	5.22E+016	1.16E+017	0.02	0.73	1310767035072
30000125	Ahtulaima	-1.02E+017	5.15E+016	1.14E+017	0.84	0.61	3376916713192
30000126	Geras	-1.09E+017	7.40E+016	8.89E+016	0.07	0.65	2715790135152
30000127	Sirseshin	-1.22E+017	7.73E+016	8.37E+016	0.1	0.75	1434086499744
30000128	Tuuriainas	-1.13E+017	8.22E+016	8.78E+016	0.01	0.61	473742586560
30000129	Unpas	-1.29E+017	6.48E+016	9.83E+016	0.08	0.95	1977199653600
30000130	Shihuken	-1.22E+017	7.19E+016	9.56E+016	0.24	0.87	1575757234328
30000131	Nomaa	-1.03E+017	7.52E+016	9.43E+016	0.02	0.61	1678975082680
30000132	Ansila	-1.42E+017	5.54E+016	1.09E+017	0.08	0.91	3466768974744
30000133	Hirtamon	-1.34E+017	6.16E+016	1.12E+017	0.06	0.97	2143250542880
30000134	Hykkota	-1.47E+017	5.14E+016	1.06E+017	0.02	0.82	3316530528632
30000135	Outuni	-1.49E+017	4.61E+016	1.08E+017	0.77	0.73	2123288183776
30000136	Ohmahailen	-1.50E+017	4.29E+016	1.05E+017	0.03	0.66	2937547682528
30000137	Eskunen	-1.54E+017	4.27E+016	1.05E+017	0.18	0.63	1420635003376
30000138	Ikuchi	-1.38E+017	6.32E+016	1.14E+017	0.03	0.99	1416950329648
30000139	Urlen	-1.39E+017	7.15E+016	9.95E+016	0.05	0.96	1658763476744
30000140	Maurasi	-1.26E+017	5.85E+016	1.10E+017	0.16	0.91	3419516483944
30000141	Kisogo	-1.36E+017	6.75E+016	8.92E+016	0.26	1	1389317412616
30000142	Jita	-1.29E+017	6.08E+016	1.17E+017	1.69	0.95	3591949026184
30000143	Niyabainen	-1.44E+017	6.66E+016	1.08E+017	0.23	0.96	1875601718208
30000144	Perimeter	-1.43E+017	6.49E+016	1.04E+017	0.04	0.95	1467665281408
30000145	New Caldari	-1.37E+017	6.86E+016	1.14E+017	0.04	1	999014032456
30000146	Saisio	-1.02E+017	6.80E+016	9.89E+016	0.02	0.65	1522169028904
30000147	Abagawa	-9.32E+016	5.96E+016	8.75E+016	0.01	0.63	2265189748656
30000148	Jakanerva	-1.08E+017	6.57E+016	1.12E+017	4.15	0.74	8278750486232
30000149	Gekutami	-9.54E+016	6.75E+016	1.12E+017	0.4	0.7	1517458638416
30000150	Hurtoken	-9.01E+016	6.42E+016	8.67E+016	1.11	0.59	3537682636320
30000151	Uoyonen	-9.79E+016	7.37E+016	1.17E+017	0.03	0.7	1390556925152
30000152	Hampinen	-8.61E+016	6.38E+016	9.06E+016	0.03	0.54	1593690117840
30000153	Poinen	-9.83E+016	7.84E+016	9.41E+016	0.81	0.56	4875320817240
30000154	Liekuri	-9.79E+016	7.86E+016	1.01E+017	0.02	0.6	735022203040
30000155	Obanen	-9.23E+016	8.69E+016	9.95E+016	0.1	0.56	1814234218480
30000156	Josameto	-9.21E+016	7.33E+016	9.82E+016	0.04	0.58	1428516619808
30000157	Otela	-8.96E+016	7.50E+016	9.35E+016	2.37	0.53	2779218486472
30000158	Olo	-8.27E+016	9.18E+016	1.00E+017	0.05	0.68	1203250350832
30000159	Ikami	-8.11E+016	6.35E+016	8.48E+016	0.51	0.53	3543562694928
30000160	Reisen	-7.71E+016	6.27E+016	8.22E+016	0.2	0.52	1902683857976
30000161	Purjola	-7.74E+016	5.67E+016	8.61E+016	0.1	0.52	1359693101216
30000162	Maila	-7.51E+016	5.38E+016	9.23E+016	0.07	0.44	1541698991784
30000163	Akora	-6.71E+016	4.96E+016	9.43E+016	0.01	0.32	1618394275400
30000164	Messoya	-5.95E+016	4.40E+016	8.56E+016	0.18	0.32	1715419500880
30000165	Ishisomo	-8.11E+016	8.79E+016	1.16E+017	0.05	0.65	2327688417392
30000166	Airmia	-7.63E+016	8.31E+016	1.16E+017	0.03	0.62	1272786815176
30000167	Sakkikainen	-7.72E+016	8.48E+016	1.19E+017	0.01	0.59	1831764163424
30000168	Friggi	-7.39E+016	9.61E+016	1.20E+017	0.14	0.51	3461727405808
30000169	Ihakana	-7.12E+016	1.02E+017	1.21E+017	0.02	0.38	1697381859652
30000170	Vahunomi	-7.97E+016	8.61E+016	1.24E+017	0.01	0.53	1132593467384
30000171	Otitoh	-6.72E+016	9.60E+016	1.17E+017	0.03	0.48	725325424928
30000172	Otomainen	-7.78E+016	1.02E+017	1.19E+017	0.13	0.48	2154661711592
30000173	Vattuolen	-8.79E+016	7.60E+016	1.16E+017	0.88	0.71	4535616660128
30000174	Onuse	-8.51E+016	6.80E+016	1.21E+017	0.01	0.74	1689959058992
30000175	Soshin	-8.87E+016	8.26E+016	1.20E+017	0.06	0.63	1810670214008
30000176	Keikaken	-8.54E+016	6.92E+016	1.24E+017	0.03	0.72	1527900235440
30000177	Ukkalen	-8.45E+016	6.73E+016	1.29E+017	0.11	0.65	1150597389792
30000178	Akkilen	-8.33E+016	7.52E+016	1.22E+017	0.12	0.69	3017713914984
30000179	Silen	-9.55E+016	8.89E+016	1.23E+017	1.35	0.52	2948173989832
30000180	Osmon	-7.72E+016	9.45E+016	9.85E+016	2.37	0.68	4522690447176
30000181	Korsiki	-7.07E+016	9.08E+016	1.00E+017	7.21	0.64	8114085448304
30000182	Inaya	-7.99E+016	1.04E+017	9.91E+016	0.52	0.55	1876332007384
30000183	Nuken	-7.62E+016	9.49E+016	1.06E+017	0.18	0.76	3532012087160
30000184	Uminas	-7.65E+016	1.00E+017	9.27E+016	0.01	0.48	636994168896
30000185	Airaken	-6.62E+016	8.67E+016	9.93E+016	0.06	0.5	2714859853416
30000186	Oijanen	-6.18E+016	8.14E+016	9.82E+016	0.46	0.35	3518907560256
30000187	Wuos	-7.69E+016	1.04E+017	1.00E+017	0.26	0.56	2440672741104
30000188	Hentogaira	-8.73E+016	7.97E+016	1.29E+017	5.61	0.57	5321552217392
30000189	Kiainti	-8.62E+016	7.56E+016	1.34E+017	0.14	0.53	2488647222840
30000190	Vasala	-9.15E+016	7.53E+016	1.37E+017	0.06	0.49	3127196641216
30000191	Walvalin	-8.71E+016	7.91E+016	1.41E+017	0.04	0.38	2673008591920
30000192	Otanuomi	-8.74E+016	7.57E+016	1.43E+017	4.14	0.37	4937530850664
30000193	Vouskiaho	-9.85E+016	7.65E+016	1.38E+017	0.77	0.5	2280475392216
30000194	Otsela	-8.51E+016	8.38E+016	1.37E+017	0.1	0.38	2401618924792
30000195	Tasti	-5.61E+016	3.50E+016	8.27E+016	0.13	0.28	3303045312784
30000196	Otosela	-5.21E+016	3.81E+016	8.31E+016	0.05	0.24	2787731058184
30000197	Uemon	-4.72E+016	3.84E+016	8.13E+016	0.01	0.2	1629148338016
30000198	Paala	-4.23E+016	3.65E+016	8.32E+016	0.04	0.13	1505161830920
30000199	Fuskunen	-4.70E+016	4.00E+016	7.79E+016	0.52	0.22	3098551408704
30000200	Akkio	-4.71E+016	3.03E+016	8.33E+016	0.1	0.16	1969156884336
30000201	Uchoshi	-1.00E+017	7.38E+016	1.41E+017	0.08	0.47	2557897498080
30000202	Mastakomon	-9.88E+016	6.88E+016	1.42E+017	0.08	0.46	1754147799520
30000203	Eruka	-9.52E+016	6.54E+016	1.43E+017	0.27	0.42	2664882887488
30000204	Ohkunen	-9.52E+016	7.15E+016	1.46E+017	0.02	0.38	2498175432048
30000205	Obe	-9.28E+016	7.08E+016	1.48E+017	0.07	0.35	1082804944752
30000206	Wirashoda	-1.06E+017	7.84E+016	1.41E+017	0.36	0.49	3754112759480
30000207	Osaa	-8.94E+016	6.46E+016	1.47E+017	0.14	0.33	3654406528168
30000208	LZ-6SU	-6.82E+016	1.02E+017	1.61E+017	0.74	-0.17	3154404557944
30000209	MC6O-F	-6.64E+016	1.14E+017	1.76E+017	0.06	-0.28	2016595290304
30000210	U54-1L	-6.91E+016	9.89E+016	1.74E+017	0.33	-0.27	3511606063504
30000211	B-588R	-7.09E+016	1.02E+017	1.56E+017	0.06	-0.15	3248099935440
30000212	NCGR-Q	-6.69E+016	1.09E+017	1.73E+017	0.54	-0.26	2778685463040
30000213	G-LOIT	-6.49E+016	1.05E+017	1.60E+017	0.05	-0.16	2070187734540
30000214	HE-V4V	-6.21E+016	1.06E+017	1.69E+017	0.01	-0.21	1675826425776
30000215	N-HSK0	-9.94E+016	7.55E+016	1.92E+017	0.04	-0.36	971320521520
30000216	05R-7A	-9.15E+016	7.71E+016	1.95E+017	0.19	-0.4	1935894926384
30000217	7-UH4Z	-9.67E+016	6.85E+016	1.96E+017	0.53	-0.36	3989634510928
30000218	5ZO-NZ	-8.93E+016	6.02E+016	1.92E+017	0.02	-0.3	2220726706944
30000219	FS-RFL	-9.00E+016	7.56E+016	1.91E+017	0.31	-0.37	3516597404720
30000220	Y0-BVN	-1.01E+017	7.49E+016	2.05E+017	0.65	-0.44	1502310878608
30000221	X97D-W	-9.37E+016	7.66E+016	1.99E+017	2.95	-0.43	4971286970280
30000222	0-R5TS	-6.72E+016	9.82E+016	1.68E+017	0.24	-0.22	3238446402252
30000223	H-UCD1	-5.75E+016	9.41E+016	1.64E+017	0.03	-0.17	3651200399440
30000224	7-K5EL	-5.33E+016	8.54E+016	1.62E+017	0.72	-0.15	3561282547912
30000225	H-5GUI	-4.86E+016	8.59E+016	1.49E+017	0.03	-0.14	2835676231232
30000226	FH-TTC	-3.50E+016	7.65E+016	1.54E+017	0.06	-0.14	2230828003584
30000227	FMBR-8	-3.30E+016	8.12E+016	1.57E+017	0.09	-0.14	2221517674822
30000228	3HX-DL	-9.72E+016	1.33E+017	2.07E+017	0.09	-0.42	1154908731648
30000229	UH-9ZG	-1.03E+017	1.17E+017	2.05E+017	0.01	-0.46	622976052192
30000230	NFM-0V	-9.47E+016	1.23E+017	2.05E+017	0.03	-0.5	4162445523808
30000231	YXIB-I	-1.01E+017	1.17E+017	2.09E+017	6.37	-0.51	6121639702096
30000232	MY-T2P	-1.04E+017	1.34E+017	2.07E+017	0.15	-0.38	2656975176176
30000233	FA-DMO	-9.61E+016	1.41E+017	2.10E+017	0.33	-0.39	2375624102464
30000234	GEKJ-9	-1.09E+017	1.26E+017	2.07E+017	0.21	-0.39	3789488300432
30000235	Q-R3GP	-9.34E+016	1.42E+017	2.05E+017	0.31	-0.36	2985060351200
30000236	N-5QPW	-8.90E+016	1.46E+017	2.12E+017	0.16	-0.39	1747298953616
30000237	XV-8JQ	-1.07E+017	1.34E+017	2.15E+017	0.02	-0.39	1616516497984
30000238	WBR5-R	-6.99E+016	1.08E+017	1.92E+017	0.06	-0.52	1106338168640
30000239	4GYV-Q	-7.34E+016	9.41E+016	1.97E+017	0.02	-0.54	2061919338936
30000240	4-HWWF	-7.97E+016	9.81E+016	1.92E+017	0.02	-0.47	2008459740560
30000241	YMJG-4	-8.48E+016	8.88E+016	1.90E+017	0.03	-0.42	1594755214280
30000242	8TPX-N	-7.38E+016	1.10E+017	1.88E+017	0.02	-0.44	1048099831248
30000243	PM-DWE	-7.33E+016	1.00E+017	1.87E+017	0.01	-0.42	849008384944
30000244	K8X-6B	-9.57E+016	1.00E+017	1.93E+017	7.59	-0.43	5597834826320
30000245	X445-5	-1.03E+017	1.00E+017	1.96E+017	0.04	-0.41	747099732848
30000246	KRUN-N	-9.29E+016	9.46E+016	1.88E+017	0.88	-0.39	2426059986512
30000247	9OO-LH	-1.03E+017	1.05E+017	2.02E+017	0.03	-0.47	1460326717952
30000248	V-OJEN	-9.15E+016	8.06E+016	1.82E+017	4.61	-0.32	4943263295320
30000249	EIDI-N	-8.87E+016	9.86E+016	1.88E+017	0.03	-0.41	878609811512
30000250	P3EN-E	-9.12E+016	1.01E+017	1.74E+017	0.03	-0.27	1084039112608
30000251	49-0LI	-9.49E+016	7.77E+016	1.84E+017	0.1	-0.32	1306614115272
30000252	IPAY-2	-8.98E+016	1.03E+017	1.82E+017	0.06	-0.34	1570523048336
30000253	DAYP-G	-8.95E+016	9.06E+016	1.88E+017	5.92	-0.39	4294891936016
30000254	IFJ-EL	-9.45E+016	1.16E+017	1.81E+017	0.01	-0.29	1944733042408
30000255	47L-J4	-9.49E+016	1.18E+017	1.78E+017	0.02	-0.26	826597747776
30000256	Q-L07F	-9.17E+016	1.12E+017	1.82E+017	0.01	-0.32	2504776400096
30000257	E-D0VZ	-9.55E+016	1.24E+017	1.82E+017	0.02	-0.27	1013409602696
30000258	6WW-28	-8.66E+016	1.24E+017	1.74E+017	0.05	-0.23	813666139856
30000259	A8A-JN	-1.06E+017	1.13E+017	1.81E+017	0.96	-0.27	3702108095840
30000260	S-NJBB	-1.07E+017	1.08E+017	1.81E+017	0.21	-0.28	2229264836048
30000261	T-GCGL	-6.84E+016	1.11E+017	2.07E+017	0.4	-0.73	3653753960784
30000262	0MV-4W	-6.64E+016	1.06E+017	2.02E+017	0.04	-0.66	3734233515552
30000263	TVN-FM	-7.16E+016	1.04E+017	2.02E+017	0.62	-0.65	2014591010240
30000264	V-NL3K	-6.41E+016	1.18E+017	2.09E+017	0.62	-0.76	4498463210388
30000265	AZBR-2	-7.33E+016	9.75E+016	2.10E+017	0.19	-0.71	2191508444360
30000266	Z-8Q65	-7.49E+016	1.01E+017	2.17E+017	0.06	-0.77	2003064360840
30000267	0J3L-V	-7.29E+016	9.65E+016	2.22E+017	0.74	-0.79	2192651321728
30000268	H-NOU5	-5.72E+016	1.04E+017	1.58E+017	0.02	-0.14	1320951456048
30000269	KX-2UI	-5.31E+016	1.20E+017	1.66E+017	0.03	-0.16	1378920002912
30000270	MO-FIF	-4.77E+016	1.28E+017	1.63E+017	0.01	-0.11	975920023412
30000271	97-M96	-5.26E+016	1.20E+017	1.70E+017	0.03	-0.19	1012464670240
30000272	MA-XAP	-5.07E+016	1.30E+017	1.59E+017	0.01	-0.1	2094501228960
30000273	C-J7CR	-4.99E+016	1.25E+017	1.54E+017	0.09	-0.09	2245709404268
30000274	Q-EHMJ	-4.77E+016	8.96E+016	1.47E+017	0.12	-0.15	3444792181968
30000275	XSQ-TF	-3.82E+016	9.67E+016	1.51E+017	0.33	-0.16	3885427167488
30000276	H-1EOH	-4.09E+016	9.97E+016	1.45E+017	0.02	-0.17	700924530440
30000277	IR-DYY	-3.58E+016	1.06E+017	1.45E+017	0.04	-0.16	1120867502320
30000278	C-DHON	-2.75E+016	1.20E+017	1.37E+017	0.02	-0.12	1593819254226
30000279	F-D49D	-2.86E+016	1.04E+017	1.45E+017	0.69	-0.19	2282712473082
30000280	MQ-O27	-3.03E+016	7.02E+016	1.55E+017	1.24	-0.13	2470399397264
30000281	H-EY0P	-2.36E+016	6.65E+016	1.52E+017	0.01	-0.16	762245669488
30000282	UNAG-6	-1.50E+016	6.77E+016	1.51E+017	1.8	-0.22	2424912642967
30000283	E-SCTX	-1.42E+016	6.46E+016	1.44E+017	0.03	-0.21	3432849048059
30000284	S6QX-N	-7.62E+015	5.65E+016	1.43E+017	0.15	-0.22	5761715050544
30000285	IT-YAU	-9.28E+015	5.11E+016	1.41E+017	0.11	-0.16	2065728262978
30000286	1VK-6B	-863942619663614	5.14E+016	1.37E+017	0.02	-0.17	549913235712
30000287	7-PO3P	-9.64E+015	6.90E+016	1.48E+017	0.01	-0.26	2557141754459
30000288	1W-0KS	-1.15E+016	4.62E+016	1.38E+017	0.53	-0.1	3118785288591
30000289	669-IX	-6.11E+016	1.08E+017	1.75E+017	0.02	-0.27	1580797996224
30000290	0R-F2F	-5.36E+016	9.62E+016	1.81E+017	0.01	-0.31	1129896174464
30000291	R-P7KL	-5.58E+016	1.11E+017	1.75E+017	0.01	-0.26	2920261149552
30000292	2DWM-2	-5.30E+016	1.04E+017	1.70E+017	0.2	-0.2	5350400157264
30000293	XF-PWO	-5.38E+016	1.12E+017	1.80E+017	0.16	-0.31	2001910078160
30000294	1N-FJ8	-5.00E+016	9.75E+016	1.73E+017	0.05	-0.22	2657324973952
30000295	VI2K-J	-2.56E+016	8.98E+016	1.61E+017	2.11	-0.13	4605802433360
30000296	ZLZ-1Z	-1.68E+016	8.06E+016	1.68E+017	0.01	-0.17	2007428378128
30000297	6Y-WRK	-2.09E+016	8.11E+016	1.74E+017	0.02	-0.16	2010556814288
